StationName,Latitude,Longitude,GroupCode,Time,month,year,HUC12,do,tn,tp,watertemp,airtemp_narr,precip3_narr,precip24_narr,precip48_narr,windspeed_narr
MANA3,38.4828,-75.8232,NWA,9:19:00,6,2018,020801090501,5.6,3.08,0.05,22.3,16.029938,0.0,29.5,16.515802,23.373775
RECR2C,38.4106,-75.7544,NWA,9:24:00,7,2017,020801090502,5.2,1.21,0.06,22.1,20.154938,0.0,0.0,0.2819793,7.2889047
STR,39.5988,-75.952,ENERWA,10:37:00,11,2019,020600020102,10.81,0.379,0.05,9.4,5.5418396,0.0,0.015625,1.953125,14.711827
EX-2,38.11522,-78.00257,LACA,09:55:00,8,2019,020801060402,5.64,1.39,0.04,23.46,25.134918,0.359375,0.09375,7.0703125,18.254662
EX-2,38.11522,-78.00257,LACA,09:00:00,10,2017,020801060402,5.58,0.36,0.05,12.58,4.591156,0.0,2.1328125,0.16444615,13.334138
DENA2,38.6336,-75.6177,NWA,19:15:00,7,2018,020801090405,11.7,2.73,0.12,28.1,28.888336,0.0625,3.9015205,29.518707,1.751987
DENA4,38.6013,-75.6563,NWA,15:30:00,10,2017,020801090405,9.9,2.69,0.06,22.7,29.04837,0.03125,0.09375,0.75,30.809784
BRCR3,38.5583,-75.5696,NWA,08:04:00,7,2019,020801090204,6.7,3.318,0.064,28.3,17.078522,0.0,0.0,0.0,16.8705
MANA5,38.3096,-75.8929,NWA,9:20:00,3,2018,020801090505,11.9,1.08,0.05,5.7,3.4772034,0.0,0.0546875,0.0546875,42.205666
MANA5,38.3096,-75.8929,NWA,9:20:00,7,2017,020801090505,6.9,1.13,0.049,28.1,23.714508,0.0234375,1.0546875,1.6798849,9.321487
LIBL4,38.51675,-76.0808,NWA,10:41:00,7,2018,020801100202,0.4,2.04,0.68,24.1,24.031403,5.265625,3.8359375,21.210938,2.833586
8-PMC-38-LACA,38.141667,-77.929722,LACA,09:00:00,8,2015,020801060501,6.83,1.56,0.2,27.48,20.581696,0.0,0.0031807302,0.65943074,15.336482
BRCR1,38.5645,-75.6723,NWA,13:00:00,10,2017,020801090205,10.8,3.94,0.049,17.6,21.054901,0.0,0.0,0.00309246,2.8211927
DENA2,38.6336,-75.6177,NWA,16:01:00,11,2019,020801090405,9.1,3.57,0.093,15.0,13.442352,0.0,0.00032033888,0.109375,14.009626
MAC,38.9732,-76.4924,SCC,8:36:00,5,2018,020600040203,12.6,0.81,0.0345,14.1,14.227203,0.0,0.40174955,0.46748406,21.873169
MANA3,38.4828,-75.8232,NWA,9:21:00,5,2019,020801090501,7.0,2.97,0.05,20.8,13.367645,0.0,16.351562,12.2109375,25.4594
MANA5,38.3096,-75.8929,NWA,14:50:00,6,2019,020801090505,8.3,0.673,0.069,29.6,25.953033,0.3046875,1.453125,1.453125,12.099515
P13,38.23637,-77.97138,LACA,11:15:00,6,2015,020801060501,4.25,0.99,0.1,21.59,19.895172,0.0,22.546967,23.488321,18.034779
DENA2,38.6336,-75.6177,NWA,17:31:00,4,2019,020801090405,10.9,4.69,0.042,15.2,18.34436,0.0,0.0,0.3515625,28.675356
DECR3,38.644607,-75.579428,NWA,15:15:00,4,2018,020801090102,9.3,2.97,0.05,15.1,15.398468,0.0,0.0078125,0.010869775,5.5149727
DEHE2,38.7283,-75.562,NWA,15:30:00,5,2017,020801090404,10.4,5.26,0.049,18.2,17.224518,0.0,0.0,4.2049465,42.366974
COBR1,38.6422,-75.6068,NWA,19:09:00,10,2019,020801090404,8.0,2.31,0.0828,20.8,23.67453,0.0,0.032874115,0.056311615,59.768223
DEHE4,38.643,-75.5929,NWA,14:25:00,10,2018,020801090405,9.5,3.66,0.08,14.0,9.688263,0.0,2.0234375,1.6328125,135.92151
BRCR3,38.5583,-75.5696,NWA,07:32:00,11,2018,020801090204,8.4,5.01,0.09,13.7,14.224457,1.75,0.0,17.65625,35.172676
DEHE3,38.6647,-75.5639,NWA,09:50:00,8,2017,020801090404,7.3,4.64,0.049,19.9,21.132233,0.0,0.0,2.796875,27.25356
JABR2,38.55495,-75.53978,NWA,07:33:00,9,2018,020801090202,6.2,4.61,0.05,19.6,20.511078,0.875,14.8984375,18.445312,16.040237
MANA7,38.25951,-75.91222,NWA,5:30:00,6,2019,020801090505,7.1,0.66,0.05,24.0,24.926422,0.0,0.0,2.8984375,21.936777
MANA3,38.4828,-75.8232,NWA,16:15:00,6,2019,020801090501,7.4,1.932,0.07,29.3,30.443512,0.0234375,1.015625,0.859375,19.351206
8-NAR-4-LACA,38.069722,-77.7875,LACA,09:49:00,10,2016,020801060602,9.52,0.38,0.01,21.76,15.093079,0.0,0.0,0.0,10.62407
DEHE1,38.7475,-75.5816,NWA,14:25:00,3,2019,020801090402,12.5,0.74,0.05,13.4,10.100159,0.0,0.00063122436,0.016256224,10.490715
COBR1,38.6422,-75.6068,NWA,15:09:00,7,2018,020801090404,12.2,3.17,0.05,29.5,30.749908,0.002561029,0.0234375,0.13537353,21.36795
DEHE1,38.7475,-75.5816,NWA,10:55:00,10,2019,020801090402,7.3,5.88,0.0059,16.4,18.345856,0.0,0.032874115,0.064124115,23.413597
DEHE1,38.7475,-75.5816,NWA,15:15:00,10,2017,020801090402,10.7,5.85,0.05,17.5,23.437775,0.0,0.0,0.0,7.4710946
DENA4,38.6013,-75.6563,NWA,15:40:00,11,2019,020801090405,9.2,2.67,0.069,15.3,11.99231,0.0,0.0,0.010268074,49.029503
JABR2,38.55495,-75.53978,NWA,09:05:00,7,2019,020801090202,5.0,3.29,0.062,21.1,25.279938,0.0,0.0002995208,0.0002995208,9.515789
BRCR2,38.5674,-75.6211,NWA,09:55:00,4,2017,020801090205,10.0,4.62,0.05,14.4,11.3685,0.0,0.0,0.0,28.511868
MAHO5,38.545,-75.7627,NWA,16:15:00,7,2017,020801090307,11.6,1.75,0.05,28.6,31.675446,0.2421875,3.2265625,2.742385,4.18424
MANA2,38.5124,-75.7561,NWA,9:53:00,7,2019,020801090501,6.8,0.791,0.0747,29.0,25.602936,0.0,0.015625,0.015625,3.7149105
TRAN2,38.51269,-75.96834,NWA,10:00:00,9,2019,020801100101,5.6,1.64,0.28,23.2,22.068726,0.0078125,0.046875,0.2109375,13.579174
DENA4,38.6013,-75.6563,NWA,13:05:00,3,2019,020801090405,11.0,4.41,0.05,10.1,10.475159,0.0,0.00063122436,0.00063122436,7.6645465
DEHE4,38.643,-75.5929,NWA,16:05:00,6,2018,020801090405,7.1,3.25,0.06,20.3,19.90152,2.671875,18.234375,24.851562,119.53831
DECR2,38.6659,-75.5146,NWA,16:11:00,10,2017,020801090102,10.7,1.98,0.049,15.8,23.312775,0.0,0.015625,0.015625,5.9259834
DECR3,38.644607,-75.579428,NWA,09:20:00,10,2017,020801090102,7.1,3.2,0.049,22.8,23.734406,0.640625,0.1953125,1.7109375,41.44287
MANA6,38.2712,-75.9092,NWA,14:45:00,5,2018,020801090505,7.6,1.31,0.05,23.4,18.71399,0.0078125,2.2459986,4.949124,17.036293
BACR2,38.4555,-75.7569,NWA,8:00:00,5,2019,020801090504,8.4,3.2,0.1,23.8,18.256073,0.0,1.8523902,0.14296536,13.067087
MANA4,38.4152,-75.85,NWA,9:30:00,10,2017,020801090504,6.5,1.6,0.05,22.7,22.796906,0.2578125,0.4765625,1.953125,49.512684
MANA3,38.4828,-75.8232,NWA,9:17:00,11,2018,020801090501,8.7,3.24,0.08,14.6,15.261139,4.6484375,3.953125,23.650673,57.520596
8-STU-46-LACA,38.087083,-77.783861,LACA,09:57:00,6,2018,020801060602,8.38,0.42,0.01,25.06,17.30899,0.0,0.00017644539,5.221672,7.226577
DEHE4,38.643,-75.5929,NWA,15:05:00,5,2018,020801090405,8.1,3.35,0.049,20.5,19.287872,0.0,1.90625,1.9609375,1.6352602
JABR2,38.55495,-75.53978,NWA,07:35:00,6,2018,020801090202,5.3,2.77,0.27,18.1,15.701447,0.0,28.117188,27.531427,25.788408
COBR1,38.6422,-75.6068,NWA,15:25:00,6,2018,020801090404,12.2,5.1,0.08,27.4,29.244293,0.0,0.0003687907,0.0009040341,14.651594
DEHE1,38.7475,-75.5816,NWA,15:20:00,8,2017,020801090402,11.2,4.53,0.05,20.6,25.067291,0.0,0.0,0.0,3.2099514
DEHE2,38.7283,-75.562,NWA,10:00:00,9,2019,020801090404,7.4,6.39,0.05,18.3,19.638641,0.0,0.0,6.15625,0.13691063
DEHE1,38.7475,-75.5816,NWA,15:42:00,10,2018,020801090402,8.2,4.2,0.06,14.2,10.285492,0.0,3.3203125,3.3203125,111.085815
DECR2,38.6659,-75.5146,NWA,10:16:00,10,2019,020801090102,7.6,1.6,0.0205,17.1,21.433746,0.0,0.0546875,0.4765625,26.124472
BRCR3,38.5583,-75.5696,NWA,07:35:00,6,2019,020801090204,7.6,4.71,0.05,24.5,17.115997,0.015625,15.203125,15.219741,35.9309
DECR2,38.6659,-75.5146,NWA,10:12:00,5,2018,020801090102,8.6,2.06,0.05,15.1,15.383636,0.0,0.9921875,0.1484375,24.037611
LIBL1,38.54619,-76.08297,NWA,9:20:00,4,2019,020801100202,7.6,1.568,0.168,14.1,12.304382,0.0,0.09375,2.5390625,14.700985
LIBL4,38.51675,-76.0808,NWA,9:00:00,5,2018,020801100202,0.6,1.78,0.98,18.4,13.021454,0.0,1.1171875,0.609375,11.447672
MANA3,38.4828,-75.8232,NWA,9:02:00,7,2017,020801090501,7.4,1.61,0.05,27.9,25.464508,0.0,1.3203125,5.28926,7.836546
MANA1,38.5456,-75.7175,NWA,8:00:00,9,2017,020801090406,6.2,2.24,0.049,24.1,17.98587,0.0,0.0,0.078125,0.254673
FOB BT05,39.463667,-75.843528,FB,12:35:00,10,2019,020600020206,11.02,1.362,0.074,15.9,16.234253,0.0,13.3828125,12.853862,41.457207
8-FWC-34-LACA,38.053611,-77.841389,LACA,09:00:00,4,2019,020801060601,9.13,0.36,0.02,18.02,18.245209,0.0,5.7578125,5.7578125,6.251845
DEHE4,38.643,-75.5929,NWA,16:25:00,4,2018,020801090405,10.2,3.93,0.05,12.5,6.0403748,0.0,0.75088084,0.73525584,47.23368
DEHE2,38.7283,-75.562,NWA,09:16:00,9,2019,020801090404,7.3,5.49,0.05,17.4,21.877686,0.0,0.0,0.0,5.0568237
DENA2,38.6336,-75.6177,NWA,09:53:00,7,2017,020801090405,7.6,3.23,0.05,27.9,26.027008,0.0,0.578125,2.2345724,3.4834647
BRCR1,38.5645,-75.6723,NWA,08:35:00,8,2017,020801090205,8.0,2.25,0.07,25.2,18.215973,0.0,0.0,0.78125,14.792074
MANA4,38.4152,-75.85,NWA,15:44:00,6,2019,020801090504,6.7,0.924,0.094,29.1,30.443512,0.0234375,1.015625,0.859375,19.351206
LIBL1,38.54619,-76.08297,NWA,9:20:00,7,2019,020801100202,1.9,1.4,0.319,24.6,25.915436,0.0,0.015625,0.0390625,3.7051516
RECR2C,38.4106,-75.7544,NWA,8:35:00,9,2017,020801090502,7.0,2.41,0.05,22.7,17.98587,0.0,0.0,0.078125,0.254673
QUCR1,38.3664,-75.7722,NWA,7:46:00,10,2019,020801090503,2.4,0.974,0.146,18.8,20.431915,0.0078125,0.1484375,0.34375,27.469486
NEP,39.5927,-75.9469,ENERWA,10:12:00,9,2019,020600020104,8.59,1.36,0.05,24.0,18.366058,0.0,0.0,0.3125,11.604659
DENA2,38.6336,-75.6177,NWA,08:19:00,10,2018,020801090405,6.0,2.59,0.05,23.4,20.97049,0.0,0.0,0.109375,3.4880986
DEHE3,38.6647,-75.5639,NWA,09:20:00,6,2019,020801090404,5.7,3.18,0.05,21.9,18.516602,0.0,8.03125,8.133803,34.747643
MANA5,38.3096,-75.8929,NWA,9:20:00,3,2019,020801090505,10.7,2.24,0.06,9.5,9.415924,0.0,0.00063122436,1.009865,2.0820022
MANA3,38.4828,-75.8232,NWA,8:50:00,5,2017,020801090501,6.9,2.12,0.05,18.5,7.261688,0.0,0.359375,0.359375,26.832285
MANA3,38.4828,-75.8232,NWA,9:35:00,7,2018,020801090501,5.8,1.24,0.05,27.4,26.09732,0.0,0.025998529,0.50256103,8.05262
MANA3,38.4828,-75.8232,NWA,9:04:00,7,2019,020801090501,5.8,0.791,0.075,28.8,25.602936,0.0,0.015625,0.015625,3.7149105
MAHO3,38.7627,-75.723,NWA,9:45:00,10,2018,020801090303,6.7,3.26,0.05,21.0,21.781921,0.0,0.0,0.0078125,3.0444796
8-FWC-34-LACA,38.053611,-77.841389,LACA,09:00:00,6,2018,020801060601,8.33,0.44,0.02,26.08,12.642242,0.0,0.007988946,5.1826096,14.786146
8-COL-40-LACA,37.984722,-77.766944,LACA,10:15:00,8,2013,020801060603,7.38,0.43,0.01,29.32,20.675446,0.734375,11.128709,12.324021,5.2724886
DECR2,38.6659,-75.5146,NWA,10:25:00,6,2018,020801090102,7.5,2.37,0.07,15.8,15.779938,0.0,24.015625,13.093926,25.70007
DEHE1,38.7475,-75.5816,NWA,10:55:00,10,2019,020801090402,7.3,5.89,0.0062,16.4,18.345856,0.0,0.032874115,0.064124115,23.413597
QUCR1,38.3664,-75.7722,NWA,8:40:00,5,2019,020801090503,6.7,1.57,0.06,16.3,12.51767,0.0,14.796875,15.3828125,36.414787
LIBL4,38.51675,-76.0808,NWA,9:05:00,6,2017,020801100202,0.5,2.23,0.62,22.1,23.725494,1.921875,0.14284107,11.760029,9.822681
QUCR1,38.3664,-75.7722,NWA,17:21:00,6,2019,020801090503,4.2,0.781,0.111,29.6,30.943512,0.0078125,1.453125,1.5234375,12.840147
MAHO5,38.545,-75.7627,NWA,16:15:00,7,2017,020801090307,7.9,1.48,0.06,25.5,24.964996,0.0,1.0390625,7.656979,9.523077
TRAN2,38.51269,-75.96834,NWA,9:40:00,9,2019,020801100101,6.7,0.924,0.05,23.9,21.94638,0.109375,0.2109375,0.4081977,4.367056
TRAN1,38.5508,-75.9528,NWA,9:45:00,10,2017,020801100101,3.1,3.3,0.3,20.9,22.796906,0.2578125,0.4765625,1.953125,49.512684
MANA3,38.4828,-75.8232,NWA,10:01:00,10,2017,020801090501,6.6,1.33,0.05,22.7,22.796906,0.2578125,0.4765625,1.953125,49.512684
MAHO5,38.545,-75.7627,NWA,7:20:00,10,2018,020801090307,7.1,3.16,0.13,15.5,3.1455688,0.0,0.0,1.265625,2.0895972
COBR1,38.6422,-75.6068,NWA,19:09:00,10,2019,020801090404,8.1,2.27,0.084,20.8,23.67453,0.0,0.032874115,0.056311615,59.768223
COBR3,38.6916,-75.5995,NWA,08:04:00,7,2019,020801090404,6.9,8.88,0.077,20.7,20.241852,0.0,0.0002995208,0.0002995208,9.857449
JABR2,38.55495,-75.53978,NWA,08:00:00,6,2018,020801090202,5.1,4.98,0.06,22.3,20.760406,0.0005352434,0.0,0.039597742,5.092522
HSP,39.6022,-75.9437,ENERWA,9:00:00,7,2019,020600020102,8.59,3.19,0.05,23.0,20.261627,0.0,0.0,0.0,0.9061974
MAHO5,38.545,-75.7627,NWA,16:00:00,8,2017,020801090307,9.5,1.39,0.05,26.6,28.693268,0.2578125,10.503914,5.788551,3.1673915
MANA2,38.5124,-75.7561,NWA,8:30:00,11,2017,020801090501,6.9,1.19,0.05,16.4,16.003143,0.0078125,1.265625,0.4765625,16.17398
GRBR1,38.6871,-75.5481,NWA,17:00:00,6,2019,020801090403,6.7,1.58,0.05,24.3,29.172485,0.1015625,0.0234375,8.041919,30.13171
GRBR1,38.6871,-75.5481,NWA,16:40:00,6,2017,020801090403,6.6,2.24,0.049,25.3,30.4086,0.0078125,0.65933704,0.98746204,80.15057
DECR2,38.6659,-75.5146,NWA,16:31:00,7,2017,020801090102,9.7,1.93,0.049,27.3,32.300446,0.046875,2.2578125,2.211135,5.8143992
DENA4,38.6013,-75.6563,NWA,18:26:00,10,2019,020801090405,6.7,1.6,0.0694,21.5,23.67453,0.0078125,0.087561615,0.103186615,77.31442
WECR1,38.3267,-75.8665,NWA,14:06:00,5,2019,020801090505,6.2,4.02,0.05,22.4,17.408173,2.1796875,4.8151627,10.485307,3.9134917
RECR1,38.4016,-75.7905,NWA,9:40:00,5,2018,020801090502,4.2,1.61,0.12,22.5,21.350128,0.0,0.011623688,4.546875,19.698551
RECR1,38.4016,-75.7905,NWA,9:40:00,5,2017,020801090502,5.0,2.02,0.18,22.1,17.55716,0.0546875,3.234375,10.50294,2.375533
RECR2C,38.4106,-75.7544,NWA,16:58:00,6,2019,020801090502,7.6,1.27,0.091,29.8,30.443512,0.0234375,1.015625,0.859375,19.351206
MANA5,38.3096,-75.8929,NWA,8:30:00,8,2019,020801090505,5.9,0.613,0.05,27.6,23.391022,0.0,0.15625,0.1953125,0.011138971
MANA3,38.4828,-75.8232,NWA,9:27:00,9,2017,020801090501,7.5,1.08,0.05,24.7,19.412872,0.0,0.0,0.09375,3.3886418
QUCR1,38.3664,-75.7722,NWA,9:06:00,10,2018,020801090503,7.6,1.26,0.09,8.9,4.212921,0.0,0.0,1.0078125,10.901373
P13,38.23637,-77.97138,LACA,11:35:00,6,2017,020801060501,7.58,0.66,0.07,19.48,20.228912,0.0,2.046875,0.9296875,31.045673
DEHE1,38.7475,-75.5816,NWA,15:35:00,6,2017,020801090402,10.2,4.82,0.05,23.6,27.910553,0.0,0.0022160744,4.3029795,19.845737
DEHE4,38.643,-75.5929,NWA,15:35:00,6,2019,020801090405,8.6,2.94,0.057,28.6,30.256012,0.0078125,1.625,1.2421875,52.02729
DEHE1,38.7475,-75.5816,NWA,15:20:00,7,2017,020801090402,12.2,4.69,0.05,25.7,29.66446,0.0,0.0,4.3984375,0.16667867
DEHE1,38.7475,-75.5816,NWA,16:15:00,7,2018,020801090402,9.8,4.06,0.05,23.4,28.280914,0.0,0.63589555,5.3546457,0.7131779
GRBR1,38.6871,-75.5481,NWA,16:43:00,10,2019,020801090403,9.2,6.342,0.0053,16.6,23.95578,0.0234375,0.009436615,0.056311615,65.834656
DEHE2,38.7283,-75.562,NWA,08:02:00,10,2019,020801090404,8.0,7.21,0.014,12.8,12.396545,0.5390625,0.0625,9.09375,7.9889936
DECR3,38.644607,-75.579428,NWA,08:30:00,8,2019,020801090102,7.2,2.64,0.05,25.0,19.266022,0.0,0.0,0.0078125,1.1688
RECR2C,38.4106,-75.7544,NWA,16:57:00,4,2019,020801090502,7.7,2.38,0.117,20.6,18.389069,0.0,0.18042341,0.8135242,9.047468
WECR1,38.3267,-75.8665,NWA,9:35:00,7,2018,020801090505,4.7,1.09,0.05,27.1,25.22232,0.0,0.010373529,0.05724853,17.21532
QUCR1,38.3664,-75.7722,NWA,19:35:00,7,2017,020801090503,4.8,1.1,0.05,23.1,25.165924,0.0,0.5546875,24.789791,18.392876
